sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Clo,7943,690630.89,99.5,91.6,630,7.93,3321,41.81,2523,31.76,1469,18.49,2142,26.97,1,1,1,1,1,1,1,0,0,0,0,4,20,73,533,2175,2996,1554,588
Dan,7943,666289.9,99.5,91.6,1692,21.3,3069,38.64,2113,26.6,1069,13.46,1551,19.53,1,3,2,2,2,1,2,0,0,4,72,355,368,311,582,1875,2825,1075,476
War,6868,575225.77,99.5,91.6,1513,22.03,2921,42.53,1501,21.85,933,13.58,1316,19.16,1,2,1.5,5,2.67,1,2,0,0,4,43,223,356,332,555,1892,2147,894,422
ECo,7943,679430.65,99.5,91.6,895,11.27,3954,49.78,2190,27.57,904,11.38,1401,17.64,1,6,3.5,3,3.33,1,2,0,0,0,1,9,35,132,718,2794,2853,1071,330
Blu,7326,632038.17,99.26,91.6,467,6.37,3693,50.41,2342,31.97,824,11.25,1310,17.88,5,7,6,6,6,2,5,0,0,0,0,0,0,21,446,2393,3156,1037,273
Imp,7326,628901.12,99.18,91.6,696,9.5,3736,51,2012,27.46,882,12.04,1340,18.29,11,5,8,4,6.67,2,3,0,0,0,0,0,5,91,600,2536,2754,1014,326
Mar,6314,523945.4,99.22,91.6,1577,24.98,2332,36.93,1624,25.72,781,12.37,1187,18.8,9,4,6.5,8,7,2,2,0,0,5,75,361,371,290,475,1628,1922,856,331
Ant,7943,656086.36,99.26,91.6,1996,25.13,3385,42.62,1845,23.23,717,9.03,1071,13.48,5,9,7,9,7.67,2,2,0,0,10,118,423,386,353,706,2174,2702,803,268
Cur,7943,640448.53,99.23,91.6,2644,33.29,3239,40.78,1525,19.2,535,6.74,821,10.34,8,10,9,11,9.67,2,3,0,0,27,225,694,497,444,757,2072,2406,630,191
Gla,7943,674079.61,99.06,91.6,1064,13.4,4197,52.84,1931,24.31,751,9.45,1199,15.1,15,8,11.5,7,10,2,3,0,0,0,8,28,58,174,796,3062,2618,947,252
Ass,7943,626971.84,99.2,91.6,3148,39.63,2901,36.52,1393,17.54,501,6.31,712,8.96,10,12,11,13,11.67,2,3,0,0,29,376,991,587,421,744,1910,2173,524,188
DDl,7326,579219.41,99.26,91.6,2870,39.18,2779,37.93,1271,17.35,406,5.54,663,9.05,5,15,10,16,12,3,0,0,0,34,288,849,604,392,703,1971,1822,501,162
EWa,7326,591986.77,99.15,91.6,2402,32.79,3329,45.44,1126,15.37,469,6.4,711,9.71,12,11,11.5,14,12.33,3,0,0,0,34,167,431,347,473,950,2556,1657,576,135
Cal,7943,643682.01,99.14,91.6,2452,30.87,3516,44.27,1488,18.73,487,6.13,769,9.68,13,14,13.5,12,13,3,0,0,0,21,208,566,403,490,764,2301,2421,607,162
Jug,7943,665439.7,98.83,91.6,1565,19.7,4256,53.58,1621,20.41,501,6.31,839,10.56,18,12,15,10,13.33,3,0,0,0,0,2,33,99,319,1112,3160,2379,680,159
Thr,7943,644889.32,99.05,91.6,2355,29.65,3756,47.29,1417,17.84,415,5.22,675,8.5,16,16,16,15,15.67,3,0,0,0,18,178,522,357,473,807,2534,2379,551,124
Dec,7943,642347.47,99.07,91.6,2439,30.71,4154,52.3,1095,13.79,255,3.21,444,5.59,14,19,16.5,19,17.33,4,0,0,0,44,177,354,295,427,1142,3125,1935,389,55
Whi,7943,614791.06,99,91.6,3579,45.06,3079,38.76,1019,12.83,266,3.35,474,5.97,17,18,17.5,18,17.67,4,0,0,6,96,536,986,577,545,833,2081,1809,386,88
Acr,7326,612799.33,98.82,91.6,1242,16.95,4470,61.02,1323,18.06,291,3.97,552,7.53,19,17,18,17,17.67,4,0,0,0,0,0,15,100,260,867,3222,2310,474,78
Par,7943,640288.11,98.69,91.6,2603,32.77,4089,51.48,1011,12.73,240,3.02,423,5.33,20,20,20,20,20,4,0,0,0,27,164,371,345,547,1149,3138,1779,369,54
Fin,7943,607977.6,98.61,91.6,3826,48.17,3079,38.76,848,10.68,190,2.39,324,4.08,22,22,22,21,21.67,4,0,0,8,131,614,1026,570,584,893,2193,1600,270,54
Per,7943,609136.33,98.61,91.6,3816,48.04,3041,38.29,902,11.36,184,2.32,314,3.95,22,24,23,22,22.67,4,0,0,1,97,629,1036,560,554,939,2146,1667,262,52
Dag,6314,492095.47,98.44,91.6,2711,42.94,2505,39.67,924,14.63,174,2.76,302,4.78,24,21,22.5,25,23.33,4,0,0,1,51,303,768,498,401,689,1823,1478,249,53
Sup,7326,571652.51,98.39,91.6,3217,43.91,3202,43.71,733,10.01,174,2.38,314,4.29,25,23,24,22,23.33,6,0,0,7,88,375,609,469,538,1131,2529,1266,282,32
DCr,7326,561319.56,98.67,91.6,3563,48.63,2781,37.96,818,11.17,164,2.24,273,3.73,21,26,23.5,26,24.33,6,0,0,5,92,566,919,537,511,933,1998,1492,226,47
Mai,7326,569086.46,98.39,91.6,3320,45.32,3129,42.71,708,9.66,169,2.31,303,4.14,25,25,25,24,24.67,6,0,0,12,102,410,621,481,559,1135,2490,1213,271,32
Swo,6314,485778.53,98.21,91.6,2994,47.42,2426,38.42,776,12.29,118,1.87,212,3.36,27,27,27,29,27.67,4,0,0,6,79,379,843,442,461,784,1796,1312,173,39
Hin,7943,601229.91,98.08,91.6,4059,51.1,3045,38.34,718,9.04,121,1.52,221,2.78,29,29,29,27,28.33,4,0,0,11,173,705,1017,587,635,931,2337,1326,196,25
Bow,6314,484407.46,98.14,91.6,3052,48.34,2412,38.2,742,11.75,108,1.71,199,3.15,28,28,28,30,28.67,4,0,0,5,79,390,868,445,464,801,1762,1301,166,33
Stu,7326,589044.18,98.01,91.6,2794,38.14,3748,51.16,678,9.25,106,1.45,213,2.91,30,30,30,28,29.33,6,0,0,0,3,59,155,291,692,1594,3027,1292,193,20
FaL,7326,559528.2,97.94,91.6,3717,50.74,3015,41.15,504,6.88,90,1.23,167,2.28,31,32,31.5,32,31.67,6,0,0,14,143,468,764,517,585,1226,2440,1002,158,9
Tel,7943,595508.91,97.81,91.6,4387,55.23,2872,36.16,581,7.31,103,1.3,181,2.28,33,31,32,31,31.67,6,0,0,16,214,749,1074,580,664,1090,2144,1231,150,31
MaD,7943,595677.04,97.85,91.6,4252,53.53,3090,38.9,522,6.57,79,0.99,140,1.76,32,33,32.5,33,32.67,6,0,0,12,181,778,1063,582,708,928,2379,1172,130,10
Bac,7943,592753.68,97.58,91.6,4367,54.98,3032,38.17,474,5.97,70,0.88,135,1.7,34,34,34,34,34,6,0,0,21,224,808,1024,619,710,961,2381,1060,125,10
Sur,7326,581263.08,97.52,91.6,3103,42.36,3654,49.88,515,7.03,54,0.74,132,1.8,35,35,35,35,35,6,0,0,0,17,114,294,374,696,1608,3011,1080,126,6
Tou,7943,627018.09,97.52,91.6,3610,45.45,3764,47.39,515,6.48,54,0.68,132,1.66,35,36,35.5,35,35.33,6,0,0,0,23,128,338,461,834,1826,3119,1082,126,6
All,7326,549031.74,96.81,91.6,4127,56.33,2747,37.5,404,5.51,48,0.66,102,1.39,37,37,37,37,37,6,0,0,0,86,700,998,587,682,1074,2182,915,93,9
FaH,7326,569253.53,96.52,91.6,3647,49.78,3319,45.3,338,4.61,22,0.3,71,0.97,38,38,38,38,38,6,0,0,1,64,195,443,497,826,1621,2881,727,69,2
Eag,7326,516706.7,91.52,91.6,5397,73.67,1855,25.32,74,1.01,0,0,5,0.07,39,39,39,39,39,6,0,0,42,540,1140,865,717,776,1317,1711,213,5,0
