sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
War,8530,764857.44,99.95,95.4,340,3.99,3450,40.45,2315,27.14,2425,28.43,4432,51.96,1,1,1,1,1,1,1,0,0,0,0,0,55,208,580,1443,1812,1833,2599
PFr,8530,735944.45,99.95,95.4,1230,14.42,4189,49.11,2139,25.08,972,11.4,2720,31.89,1,3,2,2,2,1,1,0,0,0,0,26,109,294,1123,2084,2174,1662,1058
EWa,7880,669473.42,99.95,95.4,1955,24.81,3315,42.07,1987,25.22,623,7.91,2256,28.63,1,7,4,7,5,1,2,0,0,0,0,15,77,785,1234,1756,1757,1548,708
SBl,8530,729577.59,99.89,95.4,1623,19.03,4090,47.95,2052,24.06,765,8.97,2430,28.49,7,5,6,4,5.33,1,3,0,0,0,0,22,92,458,1366,2073,2089,1575,855
Bat,8530,723756.87,99.81,95.4,1768,20.73,4097,48.03,1877,22,788,9.24,2302,26.99,9,4,6.5,5,6,1,2,0,0,0,1,52,213,550,1410,2113,1889,1431,871
Swo,6314,548631.14,99.54,95.4,639,10.12,2795,44.27,1953,30.93,927,14.68,2656,42.07,13,2,7.5,3,6,2,0,0,0,0,0,23,75,292,829,1482,957,1622,1034
All,7880,661059.65,99.95,95.4,1719,21.81,3913,49.66,1687,21.41,561,7.12,1958,24.85,1,9,5,9,6.33,2,5,0,0,0,5,42,238,865,1347,1839,1586,1321,637
Fla,8530,725658.81,99.86,95.4,1750,20.52,4105,48.12,1929,22.61,746,8.75,2268,26.59,8,6,7,6,6.67,2,5,0,0,0,2,43,148,528,1372,2119,2050,1429,839
Whi,8530,716213,99.92,95.4,1689,19.8,4424,51.86,1801,21.11,616,7.22,2059,24.14,5,8,6.5,8,7,2,5,0,0,0,1,47,304,800,1418,2040,1861,1368,691
EPl,8530,706542.09,99.92,95.4,3289,38.56,3130,36.69,1510,17.7,601,7.05,1817,21.3,5,10,7.5,10,8.33,2,5,0,0,0,0,0,336,1240,1864,1718,1555,1144,673
Pow,8530,710270.17,99.67,95.4,1950,22.86,4420,51.82,1640,19.23,520,6.1,1813,21.25,12,12,12,11,11.67,2,0,0,0,0,4,73,365,875,1506,2097,1797,1225,588
Thi,8530,701298.85,99.68,95.4,3594,42.13,3049,35.74,1385,16.24,502,5.89,1636,19.18,11,13,12,13,12.33,3,0,0,0,0,0,0,395,1338,1948,1746,1467,1079,557
Tel,8530,698538.36,99.72,95.4,2628,30.81,4058,47.57,1475,17.29,369,4.33,1529,17.92,10,19,14.5,15,14.67,3,0,0,0,0,27,127,456,1126,1741,2015,1509,1106,423
Sup,7880,652187.22,99.52,95.4,2717,34.48,3272,41.52,1515,19.23,376,4.77,1567,19.89,15,15,15,14,14.67,3,0,0,0,0,7,55,255,1058,1614,1690,1634,1144,423
Axe,6314,526405.86,98.96,95.4,1552,24.58,2898,45.9,1461,23.14,403,6.38,1652,26.16,25,11,18,12,16,3,0,0,0,0,4,94,230,624,1343,1320,1047,1185,467
Mai,7880,650627.23,99.52,95.4,2807,35.62,3254,41.29,1459,18.52,360,4.57,1506,19.11,15,17,16,17,16.33,3,0,0,0,0,7,55,257,1110,1650,1689,1606,1101,405
Jug,8530,698056.35,99.41,95.4,3744,43.89,3029,35.51,1339,15.7,418,4.9,1517,17.78,19,14,16.5,16,16.33,3,0,0,0,0,0,0,437,1392,1974,1763,1447,1042,475
Smi,8530,702675.25,99.47,95.4,2918,34.21,3860,45.25,1350,15.83,402,4.71,1494,17.51,17,16,16.5,18,17,4,0,0,0,0,23,93,272,1096,1761,2120,1671,1046,448
Sun,8530,688976.36,99.53,95.4,3119,36.57,3949,46.3,1157,13.56,305,3.58,1242,14.56,14,21,17.5,21,18.67,3,0,0,0,3,57,213,534,1254,1888,1942,1397,893,349
Imp,7880,644693.13,99.28,95.4,3285,41.69,3091,39.23,1155,14.66,349,4.43,1301,16.51,21,18,19.5,20,19.67,3,0,0,0,0,0,10,352,1253,1809,1770,1385,900,401
FaL,7880,642757.41,99.36,95.4,3120,39.59,3294,41.8,1183,15.01,283,3.59,1220,15.48,20,20,20,22,20.67,4,0,0,0,0,19,86,389,1198,1718,1731,1519,900,320
