skill_name,raw_rating,net_rating,name
G2AcrAllAntAss,89.3,89.3,G2CORa01AcrAllAntAss
G2AcrAllAntBac,84.5,84.5,G2CORa01AcrAllAntBac
G2AcrAllAntCal,83.5,83.5,G2CORa01AcrAllAntCal
G2AcrAllAntClo,68.3,n/q,G2CORa01AcrAllAntClo
G2AcrAllAntCur,86.3,86.3,G2CORa01AcrAllAntCur
G2AcrAllAntDCr,81.8,81.8,G2CORa01AcrAllAntDCr
G2AcrAllAntDDl,87.0,87.0,G2CORa01AcrAllAntDDl
G2AcrAllAntDan,88.2,88.2,G2CORa01AcrAllAntDan
G2AcrAllAntDec,77.5,77.5,G2CORa01AcrAllAntDec
G2AcrAllAntDes,95.5,95.5,G2CORa01AcrAllAntDes
G2AcrAllAntECo,68.0,n/q,G2CORa01AcrAllAntECo
G2AcrAllAntEWa,77.2,77.2,G2CORa01AcrAllAntEWa
G2AcrAllAntFaH,67.0,n/q,G2CORa01AcrAllAntFaH
G2AcrAllAntFaL,72.5,72.5,G2CORa01AcrAllAntFaL
G2AcrAllAntFin,88.3,88.3,G2CORa01AcrAllAntFin
G2AcrAllAntGla,68.2,n/q,G2CORa01AcrAllAntGla
G2AcrAllAntHin,86.8,86.8,G2CORa01AcrAllAntHin
G2AcrAllAntImp,68.4,n/q,G2CORa01AcrAllAntImp
G2AcrAllAntJug,68.3,n/q,G2CORa01AcrAllAntJug
G2AcrAllAntMaD,81.1,81.1,G2CORa01AcrAllAntMaD
G2AcrAllAntMai,73.6,73.6,G2CORa01AcrAllAntMai
G2AcrAllAntPar,75.3,75.3,G2CORa01AcrAllAntPar
G2AcrAllAntPer,83.8,83.8,G2CORa01AcrAllAntPer
G2AcrAllAntStu,68.0,n/q,G2CORa01AcrAllAntStu
G2AcrAllAntSup,73.6,73.6,G2CORa01AcrAllAntSup
G2AcrAllAntSur,67.5,n/q,G2CORa01AcrAllAntSur
G2AcrAllAntTel,85.1,85.1,G2CORa01AcrAllAntTel
G2AcrAllAntThr,81.3,81.3,G2CORa01AcrAllAntThr
G2AcrAllAntTou,67.5,n/q,G2CORa01AcrAllAntTou
G2AcrAllAntWhi,89.8,89.8,G2CORa01AcrAllAntWhi
G2AcrAllAssBac,88.3,88.3,G2CORa01AcrAllAssBac
G2AcrAllAssCal,87.6,87.6,G2CORa01AcrAllAssCal
G2AcrAllAssClo,75.7,75.7,G2CORa01AcrAllAssClo
G2AcrAllAssCur,89.2,89.2,G2CORa01AcrAllAssCur
G2AcrAllAssDCr,84.4,84.4,G2CORa01AcrAllAssDCr
G2AcrAllAssDDl,88.2,88.2,G2CORa01AcrAllAssDDl
G2AcrAllAssDan,91.3,91.3,G2CORa01AcrAllAssDan
G2AcrAllAssDec,83.1,83.1,G2CORa01AcrAllAssDec
G2AcrAllAssDes,95.9,95.9,G2CORa01AcrAllAssDes
G2AcrAllAssECo,75.4,75.4,G2CORa01AcrAllAssECo
G2AcrAllAssEWa,83.2,83.2,G2CORa01AcrAllAssEWa
