skill_name,raw_rating,net_rating,name
G4AcrAllAntAss,84.8,84.8,G4CORa01AcrAllAntAss
G4AcrAllAntAxe,82.3,82.3,G4AXEa11AcrAllAntAxe
G4AcrAllAntBac,73.7,n/q,G4CORa01AcrAllAntBac
G4AcrAllAntCal,73.9,n/q,G4CORa01AcrAllAntCal
G4AcrAllAntClo,62.3,n/q,G4CORa01AcrAllAntClo
G4AcrAllAntCur,77.2,n/q,G4CORa01AcrAllAntCur
G4AcrAllAntDCr,81.4,81.4,G4CORa01AcrAllAntDCr
G4AcrAllAntDDl,86.6,86.6,G4CORa01AcrAllAntDDl
G4AcrAllAntDag,84.5,84.5,G4WARa10AcrAllAntDag
G4AcrAllAntDan,78.2,n/q,G4CORa01AcrAllAntDan
G4AcrAllAntDec,65.9,n/q,G4CORa01AcrAllAntDec
G4AcrAllAntECo,61.2,n/q,G4CORa01AcrAllAntECo
G4AcrAllAntEWa,72.4,n/q,G4CORa01AcrAllAntEWa
G4AcrAllAntFaH,61.3,n/q,G4CORa01AcrAllAntFaH
G4AcrAllAntFaL,67.7,n/q,G4CORa01AcrAllAntFaL
G4AcrAllAntFin,78.9,n/q,G4CORa01AcrAllAntFin
G4AcrAllAntGla,61.8,n/q,G4CORa01AcrAllAntGla
G4AcrAllAntGun,84.8,84.8,G4CORa01AcrAllAntGun
G4AcrAllAntHin,77.6,n/q,G4CORa01AcrAllAntHin
G4AcrAllAntImp,62.9,n/q,G4CORa01AcrAllAntImp
G4AcrAllAntJug,62.4,n/q,G4CORa01AcrAllAntJug
G4AcrAllAntMaD,72.3,n/q,G4CORa01AcrAllAntMaD
G4AcrAllAntMai,69.7,n/q,G4CORa01AcrAllAntMai
G4AcrAllAntMar,88.3,88.3,G4CORa01AcrAllAntMar
G4AcrAllAntPar,66.9,n/q,G4CORa01AcrAllAntPar
G4AcrAllAntPer,80.1,80.1,G4CORa01AcrAllAntPer
G4AcrAllAntStu,62.3,n/q,G4CORa01AcrAllAntStu
G4AcrAllAntSup,69.7,n/q,G4CORa01AcrAllAntSup
G4AcrAllAntSur,61.9,n/q,G4CORa01AcrAllAntSur
G4AcrAllAntTel,80.8,80.8,G4CORa01AcrAllAntTel
G4AcrAllAntThr,72.4,n/q,G4CORa01AcrAllAntThr
G4AcrAllAntTou,61.9,n/q,G4CORa01AcrAllAntTou
G4AcrAllAntWar,87.9,87.9,G4WARa10AcrAllAntWar
G4AcrAllAntWhi,80.7,80.7,G4CORa01AcrAllAntWhi
G4AcrAllAssAxe,89.1,89.1,G4AXEa11AcrAllAssAxe
G4AcrAllAssBac,84.1,84.1,G4CORa01AcrAllAssBac
G4AcrAllAssCal,83.7,83.7,G4CORa01AcrAllAssCal
G4AcrAllAssClo,71.2,n/q,G4CORa01AcrAllAssClo
G4AcrAllAssCur,85.5,85.5,G4CORa01AcrAllAssCur
G4AcrAllAssDCr,85.3,85.3,G4CORa01AcrAllAssDCr
G4AcrAllAssDDl,89.0,89.0,G4CORa01AcrAllAssDDl
G4AcrAllAssDag,90.5,90.5,G4WARa10AcrAllAssDag
G4AcrAllAssDan,86.9,86.9,G4CORa01AcrAllAssDan
G4AcrAllAssDec,76.1,n/q,G4CORa01AcrAllAssDec
G4AcrAllAssECo,71.6,n/q,G4CORa01AcrAllAssECo
G4AcrAllAssEWa,81.4,81.4,G4CORa01AcrAllAssEWa
G4AcrAllAssFaH,69.1,n/q,G4CORa01AcrAllAssFaH
G4AcrAllAssFaL,77.8,n/q,G4CORa01AcrAllAssFaL
G4AcrAllAssFin,86.8,86.8,G4CORa01AcrAllAssFin
G4AcrAllAssGla,71.0,n/q,G4CORa01AcrAllAssGla
G4AcrAllAssGun,90.2,90.2,G4CORa01AcrAllAssGun
G4AcrAllAssHin,85.7,85.7,G4CORa01AcrAllAssHin
G4AcrAllAssImp,71.9,n/q,G4CORa01AcrAllAssImp
G4AcrAllAssJug,70.9,n/q,G4CORa01AcrAllAssJug
G4AcrAllAssMaD,82.5,82.5,G4CORa01AcrAllAssMaD
G4AcrAllAssMai,79.2,n/q,G4CORa01AcrAllAssMai
G4AcrAllAssMar,92.8,92.8,G4CORa01AcrAllAssMar
G4AcrAllAssPar,77.3,n/q,G4CORa01AcrAllAssPar
G4AcrAllAssPer,85.6,85.6,G4CORa01AcrAllAssPer
G4AcrAllAssStu,70.6,n/q,G4CORa01AcrAllAssStu
G4AcrAllAssSup,79.2,n/q,G4CORa01AcrAllAssSup
G4AcrAllAssSur,70.0,n/q,G4CORa01AcrAllAssSur
G4AcrAllAssTel,85.9,85.9,G4CORa01AcrAllAssTel
G4AcrAllAssThr,81.6,81.6,G4CORa01AcrAllAssThr
G4AcrAllAssTou,70.0,n/q,G4CORa01AcrAllAssTou
G4AcrAllAssWar,92.7,92.7,G4WARa10AcrAllAssWar
G4AcrAllAssWhi,88.0,88.0,G4CORa01AcrAllAssWhi
G4AcrAllAxeBac,79.9,n/q,G4AXEa11AcrAllAxeBac
G4AcrAllAxeCal,81.0,81.0,G4AXEa11AcrAllAxeCal
G4AcrAllAxeClo,58.7,n/q,G4AXEa11AcrAllAxeClo
G4AcrAllAxeCur,84.6,84.6,G4AXEa11AcrAllAxeCur
G4AcrAllAxeDCr,79.3,n/q,G4AXEa11AcrAllAxeDCr
G4AcrAllAxeDDl,84.2,84.2,G4AXEa11AcrAllAxeDDl
G4AcrAllAxeDan,86.2,86.2,G4AXEa11AcrAllAxeDan
G4AcrAllAxeDec,64.2,n/q,G4AXEa11AcrAllAxeDec
G4AcrAllAxeECo,59.7,n/q,G4AXEa11AcrAllAxeECo
G4AcrAllAxeEWa,62.3,n/q,G4AXEa11AcrAllAxeEWa
G4AcrAllAxeFaH,57.9,n/q,G4AXEa11AcrAllAxeFaH
G4AcrAllAxeFaL,60.5,n/q,G4AXEa11AcrAllAxeFaL
G4AcrAllAxeFin,84.8,84.8,G4AXEa11AcrAllAxeFin
G4AcrAllAxeGla,58.3,n/q,G4AXEa11AcrAllAxeGla
G4AcrAllAxeHin,82.8,82.8,G4AXEa11AcrAllAxeHin
G4AcrAllAxeImp,60.2,n/q,G4AXEa11AcrAllAxeImp
G4AcrAllAxeJug,58.1,n/q,G4AXEa11AcrAllAxeJug
G4AcrAllAxeMaD,80.2,80.2,G4AXEa11AcrAllAxeMaD
G4AcrAllAxeMai,61.0,n/q,G4AXEa11AcrAllAxeMai
G4AcrAllAxePar,67.5,n/q,G4AXEa11AcrAllAxePar
G4AcrAllAxePer,83.6,83.6,G4AXEa11AcrAllAxePer
G4AcrAllAxeStu,58.1,n/q,G4AXEa11AcrAllAxeStu
G4AcrAllAxeSup,61.0,n/q,G4AXEa11AcrAllAxeSup
G4AcrAllAxeSur,58.1,n/q,G4AXEa11AcrAllAxeSur
G4AcrAllAxeTel,78.5,n/q,G4AXEa11AcrAllAxeTel
G4AcrAllAxeThr,78.3,n/q,G4AXEa11AcrAllAxeThr
G4AcrAllAxeTou,58.1,n/q,G4AXEa11AcrAllAxeTou
G4AcrAllAxeWhi,86.6,86.6,G4AXEa11AcrAllAxeWhi
G4AcrAllBacCal,72.2,n/q,G4CORa01AcrAllBacCal
G4AcrAllBacClo,58.5,n/q,G4CORa01AcrAllBacClo
G4AcrAllBacCur,77.4,n/q,G4CORa01AcrAllBacCur
G4AcrAllBacDCr,80.0,80.0,G4CORa01AcrAllBacDCr
G4AcrAllBacDDl,85.0,85.0,G4CORa01AcrAllBacDDl
G4AcrAllBacDag,81.6,81.6,G4WARa10AcrAllBacDag
G4AcrAllBacDan,78.6,n/q,G4CORa01AcrAllBacDan
G4AcrAllBacDec,62.3,n/q,G4CORa01AcrAllBacDec
G4AcrAllBacECo,59.4,n/q,G4CORa01AcrAllBacECo
G4AcrAllBacEWa,67.5,n/q,G4CORa01AcrAllBacEWa
G4AcrAllBacFaH,57.8,n/q,G4CORa01AcrAllBacFaH
G4AcrAllBacFaL,62.7,n/q,G4CORa01AcrAllBacFaL
G4AcrAllBacFin,78.1,n/q,G4CORa01AcrAllBacFin
G4AcrAllBacGla,58.1,n/q,G4CORa01AcrAllBacGla
G4AcrAllBacGun,81.7,81.7,G4CORa01AcrAllBacGun
G4AcrAllBacHin,76.7,n/q,G4CORa01AcrAllBacHin
G4AcrAllBacImp,60.0,n/q,G4CORa01AcrAllBacImp
G4AcrAllBacJug,57.9,n/q,G4CORa01AcrAllBacJug
G4AcrAllBacMaD,71.0,n/q,G4CORa01AcrAllBacMaD
G4AcrAllBacMai,63.9,n/q,G4CORa01AcrAllBacMai
G4AcrAllBacMar,86.0,86.0,G4CORa01AcrAllBacMar
G4AcrAllBacPar,62.9,n/q,G4CORa01AcrAllBacPar
G4AcrAllBacPer,79.5,n/q,G4CORa01AcrAllBacPer
G4AcrAllBacStu,57.8,n/q,G4CORa01AcrAllBacStu
G4AcrAllBacSup,63.9,n/q,G4CORa01AcrAllBacSup
G4AcrAllBacSur,57.8,n/q,G4CORa01AcrAllBacSur
G4AcrAllBacTel,77.5,n/q,G4CORa01AcrAllBacTel
G4AcrAllBacThr,70.3,n/q,G4CORa01AcrAllBacThr
G4AcrAllBacTou,57.8,n/q,G4CORa01AcrAllBacTou
G4AcrAllBacWar,86.3,86.3,G4WARa10AcrAllBacWar
G4AcrAllBacWhi,79.9,n/q,G4CORa01AcrAllBacWhi
G4AcrAllCalClo,60.9,n/q,G4CORa01AcrAllCalClo
G4AcrAllCalCur,75.4,n/q,G4CORa01AcrAllCalCur
G4AcrAllCalDCr,80.1,80.1,G4CORa01AcrAllCalDCr
G4AcrAllCalDDl,85.5,85.5,G4CORa01AcrAllCalDDl
G4AcrAllCalDag,82.4,82.4,G4WARa10AcrAllCalDag
G4AcrAllCalDan,77.2,n/q,G4CORa01AcrAllCalDan
G4AcrAllCalDec,64.2,n/q,G4CORa01AcrAllCalDec
G4AcrAllCalECo,59.7,n/q,G4CORa01AcrAllCalECo
G4AcrAllCalEWa,70.6,n/q,G4CORa01AcrAllCalEWa
G4AcrAllCalFaH,58.9,n/q,G4CORa01AcrAllCalFaH
G4AcrAllCalFaL,65.2,n/q,G4CORa01AcrAllCalFaL
G4AcrAllCalFin,78.0,n/q,G4CORa01AcrAllCalFin
G4AcrAllCalGla,60.2,n/q,G4CORa01AcrAllCalGla
G4AcrAllCalGun,83.0,83.0,G4CORa01AcrAllCalGun
