sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
EWa,14496,1146715.31,99.5,87.2,6686,46.12,2172,14.98,3787,26.12,1851,12.77,796,5.49,1,3,2,2,2,1,1,0,9,50,231,744,1164,1837,2651,4364,2650,610,186
Jug,15470,1254286.35,99.5,87.2,6321,40.86,2278,14.73,4252,27.49,2619,16.93,740,4.78,1,2,1.5,3,2,1,1,0,0,4,42,207,632,1876,3560,4011,4398,629,111
Imp,14496,1237421.19,99.27,87.2,2235,15.42,1493,10.3,4660,32.15,6108,42.14,1966,13.56,6,1,3.5,1,2.67,1,1,0,0,0,2,48,144,519,1522,3007,7288,1669,297
Pet,15470,1214695.64,99.5,87.2,7282,47.07,2450,15.84,4364,28.21,1374,8.88,707,4.57,1,5,3,4,3.33,1,1,0,0,6,164,640,2245,1791,2436,5351,2130,509,198
Man,15470,1188558.88,99.32,87.2,9151,59.15,2392,15.46,2716,17.56,1211,7.83,450,2.91,5,6,5.5,5,5.33,2,2,0,2,48,268,992,2233,2314,3294,4219,1650,381,69
PFr,15470,1188460.05,99.5,87.2,8834,57.1,2455,15.87,3085,19.94,1096,7.08,443,2.86,1,9,5,7,5.67,2,2,0,0,23,264,1081,2440,2059,2967,4654,1539,368,75
SBl,15470,1177151.84,99.21,87.2,9557,61.78,2303,14.89,2476,16.01,1134,7.33,396,2.56,7,7,7,8,7.33,2,2,0,2,48,312,1411,2395,2198,3191,4004,1513,342,54
War,12908,1055756.14,98.96,87.2,3722,28.83,2221,17.21,5790,44.86,1175,9.1,447,3.46,12,4,8,6,7.33,2,2,0,0,0,6,174,389,967,2186,5640,3099,346,101
Fla,15470,1170736.9,99.01,87.2,9889,63.92,2257,14.59,2398,15.5,926,5.99,319,2.06,11,11,11,10,10.67,2,2,0,3,46,329,1462,2533,2260,3256,3947,1315,278,41
Poi,15470,1169310.19,99.07,87.2,8635,55.82,2067,13.36,4048,26.17,720,4.65,321,2.07,8,16,12,9,11,2,5,0,0,17,662,1812,2732,1655,1757,4746,1768,254,67
Sup,14496,1104046.22,98.2,87.2,9085,62.67,1988,13.71,2393,16.51,1030,7.11,304,2.1,17,8,12.5,11,12,3,0,7,51,196,388,867,1850,2454,3272,3383,1724,264,40
Mai,14496,1099778.09,98.2,87.2,9331,64.37,1917,13.22,2287,15.78,961,6.63,269,1.86,17,10,13.5,12,13,3,0,7,57,206,413,903,1896,2548,3301,3233,1663,235,34
Wal,15470,1154362.43,98.89,87.2,10823,69.96,1955,12.64,1779,11.5,913,5.9,254,1.64,14,13,13.5,13,13.33,3,0,0,8,110,444,1838,2545,2464,3414,3049,1344,232,22
Dou,15470,1157647.02,99.02,87.2,9267,59.9,2147,13.88,3461,22.37,595,3.85,253,1.64,10,19,14.5,14,14.33,3,0,0,0,34,790,2016,2757,1644,2026,4536,1414,205,48
All,14496,1093698.22,99.05,87.2,8790,60.64,1512,10.43,3641,25.12,553,3.81,181,1.25,9,20,14.5,15,14.67,3,0,0,16,109,419,1478,2424,2332,2012,3618,1907,149,32
Dis,15470,1145659.98,98.79,87.2,9991,64.58,2186,14.13,2806,18.14,487,3.15,165,1.07,16,27,21.5,16,19.67,3,0,0,0,63,860,2112,2892,1775,2289,4245,1069,143,22
Sum,15470,1135266.38,98.11,87.2,10671,68.98,2152,13.91,2132,13.78,515,3.33,147,0.95,19,24,21.5,18,20.33,3,0,0,2,131,1183,2318,2334,1830,2873,3716,936,136,11
