sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Clo,9671,858037.69,99.8,92.8,149,1.54,3548,36.69,3962,40.97,2012,20.8,3270,33.81,1,1,1.0,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,4.0,14.0,140.0,1250.0,4993.0,2067.0,1203.0
Blu,8956,779687.24,99.8,92.8,553,6.17,4349,48.56,2580,28.81,1474,16.46,2226,24.85,1,2,1.5,2,1.67,1,1,0.0,0.0,2.0,9.0,18.0,56.0,161.0,330.0,2153.0,4001.0,1316.0,910.0
Dan,9671,807030.13,99.8,92.8,2235,23.11,4467,46.19,1867,19.31,1102,11.39,1605,16.6,1,6,3.5,5,4.0,1,1,0.0,0.0,30.0,227.0,265.0,292.0,538.0,1006.0,1847.0,3861.0,853.0,752.0
Gla,9671,839110.08,99.28,92.8,606,6.27,4737,48.98,3092,31.97,1236,12.78,2138,22.11,5,5,5.0,4,4.67,1,1,0.0,0.0,0.0,1.0,11.0,46.0,147.0,431.0,2279.0,4618.0,1450.0,688.0
ECo,9671,838317.25,99.27,92.8,651,6.73,4805,49.68,2873,29.71,1342,13.88,2174,22.48,7,4,5.5,3,4.67,1,1,0.0,0.0,1.0,5.0,21.0,63.0,172.0,424.0,2422.0,4389.0,1422.0,752.0
War,6314,549300.82,99.28,92.8,191,3.03,3681,58.3,1540,24.39,902,14.29,1336,21.16,5,3,4.0,8,5.33,2,2,0.0,0.0,0.0,0.0,0.0,3.0,37.0,179.0,1784.0,2975.0,745.0,591.0
Ade,8530,701751.04,99.8,92.8,2069,24.26,4632,54.3,1184,13.88,645,7.56,970,11.37,1,11,6.0,11,7.67,2,2,0.0,0.0,19.0,139.0,338.0,305.0,468.0,980.0,2644.0,2667.0,507.0,463.0
Ant,9671,795789.62,99.27,92.8,2582,26.7,4515,46.69,1774,18.34,800,8.27,1297,13.41,7,8,7.5,9,8.0,2,3,0.0,0.0,67.0,291.0,328.0,408.0,649.0,954.0,2009.0,3668.0,806.0,491.0
Jug,9671,832753.79,99.22,92.8,599,6.19,5487,56.74,2798,28.93,787,8.14,1538,15.9,14,9,11.5,6,9.67,2,3,0.0,0.0,0.0,3.0,4.0,33.0,124.0,441.0,2706.0,4822.0,1162.0,376.0
Imp,8956,774708.46,99.2,92.8,356,3.97,5235,58.45,2550,28.47,815,9.1,1470,16.41,16,7,11.5,7,10.0,2,3,0.0,0.0,0.0,0.0,1.0,19.0,57.0,279.0,2311.0,4819.0,1048.0,422.0
EWa,8956,747682.7,99.23,92.8,1966,21.95,4441,49.59,1853,20.69,696,7.77,1155,12.9,11,10,10.5,10,10.33,2,3,0.0,2.0,15.0,81.0,165.0,265.0,542.0,973.0,2476.0,3282.0,739.0,416.0
Cur,9671,779718.24,99.25,92.8,3133,32.4,4522,46.76,1459,15.09,557,5.76,901,9.32,9,13,11.0,14,12.0,2,5,0.0,4.0,121.0,448.0,453.0,453.0,744.0,1043.0,2138.0,3366.0,569.0,332.0
Thr,9671,783295.42,99.23,92.8,2916,30.15,4651,48.09,1590,16.44,514,5.31,960,9.93,11,16,13.5,12,13.0,3,0,0.0,6.0,123.0,386.0,442.0,491.0,710.0,855.0,2290.0,3408.0,657.0,303.0
Mar,6868,557774.5,99.24,92.8,1983,28.87,3415,49.72,1022,14.88,448,6.52,705,10.26,10,12,11.0,18,13.33,2,5,0.0,0.0,32.0,204.0,413.0,311.0,389.0,776.0,1684.0,2354.0,439.0,266.0
Cal,9671,782291.02,99.22,92.8,2982,30.83,4628,47.85,1514,15.66,547,5.66,932,9.64,14,14,14.0,13,13.67,3,0,0.0,3.0,124.0,402.0,457.0,479.0,702.0,923.0,2227.0,3422.0,628.0,304.0
Acr,8956,743172.84,99.2,92.8,1767,19.73,5096,56.9,1591,17.76,502,5.61,901,10.06,16,15,15.5,14,15.0,3,0,0.0,5.0,54.0,166.0,184.0,251.0,466.0,695.0,3153.0,3081.0,660.0,241.0
Dec,9671,787999.46,99.19,92.8,2628,27.17,5130,53.05,1482,15.32,431,4.46,758,7.84,19,17,18.0,17,17.67,3,0,1.0,9.0,89.0,290.0,274.0,448.0,688.0,914.0,2951.0,3249.0,528.0,230.0
Ins,6314,505003.47,99.23,92.8,2215,35.08,2997,47.47,859,13.6,243,3.85,454,7.19,11,19,15.0,24,18.0,3,0,0.0,2.0,38.0,240.0,413.0,346.0,436.0,828.0,1557.0,2000.0,332.0,122.0
Par,9671,806080.02,99.15,92.8,1765,18.25,5620,58.11,1905,19.7,381,3.94,769,7.95,21,18,19.5,16,18.33,3,0,0.0,0.0,29.0,101.0,159.0,266.0,521.0,747.0,2967.0,4112.0,589.0,180.0
Dag,6868,564552.68,99.2,92.8,1676,24.4,3921,57.09,1034,15.06,237,3.45,485,7.06,16,20,18.0,23,19.67,3,0,0.0,0.0,9.0,73.0,216.0,221.0,377.0,932.0,1960.0,2595.0,363.0,122.0
Sup,8956,719413.48,99.15,92.8,2925,32.66,4454,49.73,1270,14.18,307,3.43,592,6.61,21,21,21.0,19,20.33,4,0,1.0,14.0,107.0,343.0,393.0,496.0,715.0,905.0,2667.0,2723.0,452.0,140.0
Ass,9671,761216.59,99.16,92.8,3793,39.22,4433,45.84,1121,11.59,324,3.35,570,5.89,20,22,21.0,20,20.67,4,5,0.0,6.0,225.0,616.0,552.0,533.0,877.0,1108.0,2293.0,2891.0,383.0,187.0
Mai,8956,715814.95,99.15,92.8,3048,34.03,4402,49.15,1215,13.57,291,3.25,563,6.29,21,23,22.0,21,21.67,4,0,1.0,22.0,130.0,364.0,426.0,530.0,734.0,882.0,2699.0,2605.0,431.0,132.0
Whi,9671,761980.76,99.15,92.8,3808,39.38,4521,46.75,1051,10.87,291,3.01,507,5.24,21,24,22.5,22,22.33,4,5,0.0,5.0,160.0,591.0,593.0,498.0,872.0,1230.0,2330.0,2885.0,346.0,161.0
Fin,9671,754226.86,99.13,92.8,4075,42.14,4457,46.09,931,9.63,208,2.15,403,4.17,28,25,26.5,26,26.33,4,0,0.0,8.0,213.0,664.0,623.0,600.0,915.0,1192.0,2329.0,2724.0,287.0,116.0
