sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Clo,8184,704045.25,99.6,94,1279,15.63,3152,38.51,2564,31.33,1189,14.53,2527,30.88,1,1,1,1,1,1,5,0,0,0,138,21,254,226,640,2068,2310,1600,927
Bat,8184,705038.78,99.6,94,518,6.33,5144,62.85,1635,19.98,887,10.84,1782,21.77,1,3,2,6,3.33,1,1,0,0,0,0,0,4,62,452,4324,1560,1038,744
Dan,8184,706729.05,99.53,94,642,7.84,4796,58.6,1738,21.24,1008,12.32,1922,23.48,6,2,4,3,3.67,1,2,0,0,0,0,0,4,82,556,4058,1562,1079,843
Whi,8184,692065.93,99.6,94,1419,17.34,4812,58.8,1318,16.1,635,7.76,1345,16.43,1,8,4.5,8,5.67,1,1,0,0,0,5,7,39,287,1083,3915,1503,848,497
ECo,8184,698423.27,99.43,94,1296,15.84,3659,44.71,2364,28.89,865,10.57,2044,24.98,13,4,8.5,2,6.33,2,0,0,0,2,136,22,253,223,660,2370,2474,1374,670
Gla,8184,696732.43,99.45,94,1304,15.93,3748,45.8,2376,29.03,756,9.24,1906,23.29,11,5,8,4,6.67,2,0,0,0,1,137,33,249,227,657,2418,2556,1317,589
Jug,8184,696226.41,99.43,94,1346,16.45,3631,44.37,2500,30.55,707,8.64,1887,23.06,13,6,9.5,5,8,2,0,0,0,7,131,45,250,232,681,2325,2626,1362,525
DDl,7560,637884.61,99.6,94,1261,16.68,4673,61.81,1065,14.09,561,7.42,1100,14.55,1,10,5.5,14,8.33,2,2,0,0,0,1,8,32,186,1037,3919,1277,616,484
ShM,8184,695947.84,99.54,94,1023,12.5,5198,63.51,1334,16.3,629,7.69,1275,15.58,5,9,7,11,8.33,2,0,0,0,0,0,2,18,139,864,4185,1701,735,540
Ass,8184,691662.7,99.49,94,1486,18.16,4793,58.57,1310,16.01,595,7.27,1320,16.13,9,11,10,9,9.67,2,5,0,0,0,0,4,21,273,1192,3878,1496,838,482
Ant,8184,697220.05,99.35,94,902,11.02,5049,61.69,1557,19.02,676,8.26,1417,17.31,19,7,13,7,11,3,5,0,0,0,0,1,23,176,702,4212,1653,898,519
All,7560,637798.73,99.53,94,1265,16.73,4681,61.92,1092,14.44,522,6.9,1077,14.25,6,12,9,16,11.33,3,5,0,0,0,1,2,23,140,1104,3947,1266,662,415
Pow,8184,687137.66,99.49,94,1596,19.5,4817,58.86,1281,15.65,490,5.99,1144,13.98,9,15,12,12,12,3,5,0,0,1,4,13,72,353,1158,4041,1398,807,337
Fin,8184,686786.55,99.51,94,1602,19.57,4826,58.97,1289,15.75,467,5.71,1137,13.89,8,16,12,13,12.33,3,5,0,0,1,5,14,75,351,1158,4097,1346,806,331
Cur,8184,692044.42,99.42,94,1303,15.92,4847,59.23,1516,18.52,518,6.33,1311,16.02,15,14,14.5,10,13,3,0,0,0,0,0,1,42,308,952,4091,1479,895,416
Dec,8184,685222.41,99.42,94,1334,16.3,5346,65.32,960,11.73,544,6.65,990,12.1,15,13,14,19,15.67,3,0,0,0,1,8,29,253,343,700,4565,1295,557,433
Cal,8184,688141.87,99.27,94,1477,18.05,4925,60.18,1327,16.21,455,5.56,999,12.21,21,17,19,17,18.33,4,0,0,0,0,0,5,77,333,1062,4037,1671,657,342
Hin,8184,682493.99,99.45,94,1759,21.49,4866,59.46,1234,15.08,325,3.97,932,11.39,11,24,17.5,21,18.67,4,5,0,0,1,8,23,97,403,1228,4206,1286,693,239
Sun,8184,684748.1,99.36,94,1744,21.31,4777,58.37,1270,15.52,393,4.8,991,12.11,18,20,19,18,18.67,4,5,0,0,0,1,7,74,383,1285,4075,1368,707,284
Tel,8184,681922.24,99.41,94,1881,22.98,4852,59.29,1024,12.51,427,5.22,929,11.35,17,18,17.5,22,19,4,5,0,0,3,8,24,89,326,1441,4111,1253,609,320
Par,8184,697626.16,99.19,94,668,8.16,5523,67.49,1594,19.48,399,4.88,1081,13.21,24,19,21.5,15,19.33,4,0,0,0,0,0,0,8,224,436,3852,2583,826,255
Blu,7560,633226.63,99.27,94,1192,15.77,4641,61.39,1417,18.74,310,4.1,958,12.67,21,23,22,20,21.33,3,0,0,1,1,110,23,205,207,645,3710,1700,742,216
EWa,7560,630205.47,99.25,94,1317,17.42,5105,67.53,820,10.85,318,4.21,700,9.26,23,22,22.5,24,23,4,0,0,0,0,2,16,193,277,829,4398,1145,474,226
Thr,8184,686842.46,99.12,94,1351,16.51,5207,63.62,1240,15.15,386,4.72,899,10.98,28,21,24.5,23,24,4,0,0,0,0,0,8,62,292,989,4352,1582,584,315
Bac,8184,675076.71,99.31,94,2146,26.22,4823,58.93,1050,12.83,165,2.02,601,7.34,20,28,24,27,25,4,0,0,0,4,9,37,163,520,1418,4049,1383,490,111
Imp,7560,628950.98,99.19,94,1218,16.11,5072,67.09,1069,14.14,201,2.66,694,9.18,24,26,25,25,25,4,0,0,0,4,109,26,217,206,656,4253,1395,567,127
Per,8184,675446.41,99.16,94,2217,27.09,4755,58.1,1031,12.6,181,2.21,604,7.38,26,27,26.5,26,26.33,4,0,0,0,0,5,22,148,564,1483,3998,1360,470,134
DCr,7560,621557.73,99.14,94,2214,29.29,4309,57,814,10.77,223,2.95,536,7.09,27,25,26,28,26.67,4,0,0,0,3,14,27,148,563,1462,3688,1119,376,160
