sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Ade,6868,623128.33,99.4,94.2,110,1.6,3510,51.11,1978,28.8,1270,18.49,4296,62.55,1,1,1,4,2,1,1,0,0,0,0,1,15,26,68,436,2026,3295,1001
PFr,8497,761513.33,99.4,94.2,438,5.15,4675,55.02,2284,26.88,1100,12.95,4822,56.75,1,4,2.5,2,2.33,1,1,0,0,0,0,0,18,86,334,877,2360,3984,838
EWa,7848,696807.32,99.4,94.2,823,10.49,3894,49.62,1994,25.41,1137,14.49,4166,53.08,1,2,1.5,5,2.67,1,1,0,0,7,25,41,93,207,450,682,2177,3264,902
Man,8497,764096.98,99.27,94.2,378,4.45,4717,55.51,2333,27.46,1069,12.58,5042,59.34,7,5,6,1,4.33,1,1,0,0,0,0,2,26,81,269,627,2450,4212,830
Jug,8497,750232.77,99.4,94.2,915,10.77,4683,55.11,1925,22.66,974,11.46,3889,45.77,1,6,3.5,9,5.33,2,2,0,0,2,19,48,115,231,500,819,2874,3161,728
Imp,7848,698847.54,99.27,94.2,676,8.61,3888,49.54,2185,27.84,1099,14,4153,52.92,7,3,5,7,5.67,2,2,0,4,4,16,38,81,148,385,620,2399,3347,806
SBl,8497,759925.66,99.25,94.2,480,5.65,4906,57.74,2166,25.49,945,11.12,4605,54.2,9,7,8,3,6.33,2,5,0,0,0,0,3,30,98,349,768,2644,3882,723
Wal,8497,750042.69,99.29,94.2,777,9.14,5401,63.56,1716,20.2,603,7.1,3708,43.64,5,13,9,10,9.33,2,5,0,0,0,2,23,54,171,527,867,3145,3261,447
Fla,8497,754169.09,99.17,94.2,643,7.57,5103,60.06,1974,23.23,777,9.14,4157,48.92,14,8,11,6,9.33,2,5,0,0,0,0,4,47,131,461,932,2765,3595,562
Dou,8497,750931.94,99,94.2,588,6.92,5332,62.75,1841,21.67,736,8.66,3983,46.88,17,10,13.5,8,11.67,3,5,0,0,0,0,0,3,97,488,1433,2493,3456,527
DDl,7848,691978.64,98.9,94.2,618,7.87,4828,61.52,1715,21.85,687,8.75,3456,44.04,18,9,13.5,11,12.67,3,5,0,0,0,4,39,70,149,356,998,2776,2957,499
Smi,8497,736690.36,99.29,94.2,1234,14.52,5738,67.53,1186,13.96,339,3.99,2746,32.32,5,17,11,19,13.67,3,0,0,0,0,12,45,112,343,722,1115,3402,2530,216
Sup,7848,681226.35,99.18,94.2,1176,14.98,4809,61.28,1414,18.02,449,5.72,3105,39.56,12,15,13.5,14,13.67,3,0,0,0,23,37,81,187,313,535,879,2688,2802,303
All,7848,688068.54,98.9,94.2,747,9.52,4925,62.75,1560,19.88,616,7.85,3130,39.88,18,12,15,12,14,3,0,0,0,0,11,58,75,157,446,1172,2799,2682,448
Mai,7848,678435.02,99.18,94.2,1278,16.28,4831,61.56,1346,17.15,393,5.01,2943,37.5,12,16,14,16,14.67,3,0,0,0,29,37,88,208,351,565,898,2729,2681,262
Tel,8497,739440.69,98.86,94.2,993,11.69,5470,64.38,1521,17.9,513,6.04,3062,36.04,20,14,17,15,16.33,4,0,0,0,0,14,72,123,212,572,1362,3080,2689,373
ShM,6314,537436.25,99.25,94.2,1285,20.35,3754,59.46,763,12.08,512,8.11,1635,25.89,9,11,10,32,17.33,4,0,1,16,28,55,111,164,324,586,1078,2316,1273,362
Ele,8497,737654.76,98.84,94.2,1155,13.59,5715,67.26,1310,15.42,317,3.73,2943,34.64,21,18,19.5,16,18.33,4,0,0,0,0,0,2,61,265,827,1466,2933,2739,204
MaA,8497,731868.93,99.22,94.2,1402,16.5,5761,67.8,1097,12.91,237,2.79,2364,27.82,11,22,16.5,23,18.67,4,0,0,0,0,16,57,121,386,822,1252,3479,2214,150
Fir,8497,736300.1,98.81,94.2,1210,14.24,5748,67.65,1251,14.72,288,3.39,2839,33.41,22,19,20.5,18,19.67,4,0,0,0,0,0,3,73,293,841,1483,2965,2649,190
Dan,8497,742071.67,98.64,94.2,901,10.6,6002,70.64,1371,16.14,223,2.62,3122,36.74,24,23,23.5,13,20,4,0,0,0,0,0,0,33,160,708,1354,3120,2984,138
FaL,7848,669148.51,99.11,94.2,1565,19.94,5021,63.98,1039,13.24,223,2.84,2282,29.08,16,21,18.5,25,20.67,6,0,0,2,35,62,116,255,407,688,1104,2897,2127,155
DCr,7848,674608.75,98.68,94.2,1176,14.98,5350,68.17,1084,13.81,238,3.03,2448,31.19,23,20,21.5,22,21.67,6,0,0,0,0,35,93,130,291,627,1521,2703,2295,153
ECo,8497,723720.1,99.13,94.2,1665,19.6,5979,70.37,719,8.46,134,1.58,1838,21.63,15,27,21,30,24,6,0,0,0,21,40,118,220,464,802,1164,3830,1758,80
Cur,8497,734075.64,98.45,94.2,1286,15.13,5978,70.35,1066,12.55,167,1.97,2556,30.08,26,26,26,20,24,4,0,0,0,0,0,8,88,278,912,1427,3228,2458,98
Stu,7848,680318.15,98.39,94.2,1000,12.74,5506,70.16,1185,15.1,157,2,2509,31.97,27,25,26,21,24.33,6,0,0,8,16,40,80,138,259,459,832,3507,2420,89
Wan,6314,547789.31,98.53,94.2,703,11.13,4517,71.54,935,14.81,159,2.52,2017,31.94,25,24,24.5,29,26,4,0,0,0,1,14,12,63,158,455,1138,2456,1922,95
Arc,8497,724715.66,98.21,94.2,1760,20.71,5743,67.59,870,10.24,124,1.46,2095,24.66,29,28,28.5,26,27.67,6,0,0,0,0,2,40,166,465,1087,1465,3177,2022,73
Ant,8497,732800.02,97.9,94.2,1303,15.33,6189,72.84,908,10.69,97,1.14,2361,27.79,30,29,29.5,24,27.67,6,0,0,0,0,0,9,97,300,897,1392,3441,2304,57
Sur,7848,671718.44,97.43,94.2,1365,17.39,5466,69.65,931,11.86,86,1.1,2073,26.41,33,30,31.5,28,30.33,6,0,0,7,26,55,117,195,354,611,942,3468,2021,52
Tou,8497,724725.77,97.43,94.2,1551,18.25,5925,69.73,935,11,86,1.01,2094,24.64,33,31,32,27,30.33,6,0,1,10,34,70,137,218,405,676,1077,3775,2042,52
MaD,8497,717349.61,97.56,94.2,2089,24.59,5694,67.01,647,7.61,67,0.79,1700,20.01,32,32,32,31,31.67,6,0,0,0,0,8,86,228,587,1180,1481,3227,1663,37
War,6868,579889.12,97.77,94.2,1505,21.91,4778,69.57,540,7.86,45,0.66,1428,20.79,31,33,32,35,33,3,0,0,0,7,69,59,159,393,818,1413,2522,1409,19
Eag,7848,640654.36,98.25,94.2,2818,35.91,4662,59.4,341,4.35,27,0.34,934,11.9,28,35,31.5,37,33.33,6,0,0,7,86,119,207,477,794,1128,1301,2795,918,16
FaH,7848,663399.52,96.36,94.2,1663,21.19,5585,71.16,565,7.2,35,0.45,1581,20.15,37,34,35.5,33,34.67,6,0,1,9,41,77,157,254,448,676,1032,3572,1567,14
Blu,7848,663946.77,96.71,94.2,1678,21.38,5664,72.17,482,6.14,24,0.31,1431,18.23,36,36,36,34,35.33,6,0,0,5,25,53,137,244,466,748,1043,3696,1420,11
