sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Jug,9084,755135.93,99.5,88.1,2407,26.5,1335,14.7,3541,38.98,1801,19.83,1196,13.17,1,2,1.5,1,1.33,1,2,0,0,11,70,195,447,717,967,1662,3819,828,368
EWa,8402,665230.53,99.5,88.1,3979,47.36,1669,19.86,1639,19.51,1115,13.27,773,9.2,1,3,2,4,2.67,1,1,2,11,70,293,417,605,1076,1505,1840,1810,465,308
Imp,8402,720488.98,99.43,88.1,890,10.59,1033,12.29,4548,54.13,1931,22.98,1153,13.72,5,1,3,2,2.67,1,1,0,0,0,11,36,123,252,468,1342,5017,852,301
PFr,9084,722130.1,99.5,88.1,4310,47.45,2426,26.71,1332,14.66,1016,11.18,701,7.72,1,6,3.5,5,4,1,1,0,2,53,225,286,513,1134,2097,2572,1501,469,232
SBl,9084,721261.85,99.43,88.1,4415,48.6,1928,21.22,1685,18.55,1056,11.62,675,7.43,5,5,5,6,5.33,2,5,0,3,33,184,350,673,1212,1960,2069,1925,458,217
Man,9084,726847.99,99.39,88.1,4229,46.55,1965,21.63,1701,18.73,1189,13.09,817,8.99,10,4,7,3,5.67,2,5,0,2,23,128,292,624,1184,1976,2120,1918,544,273
Wal,9084,706543.71,99.43,88.1,5067,55.78,1443,15.89,1777,19.56,797,8.77,506,5.57,5,8,6.5,8,7,2,5,0,5,76,271,543,881,1411,1880,1580,1931,374,132
All,8402,651757.82,99.5,88.1,4083,48.6,2741,32.62,1113,13.25,465,5.53,310,3.69,1,12,6.5,10,7.67,2,0,0,1,42,314,789,666,788,1483,3000,1009,196,114
Fla,9084,710598.95,99.39,88.1,4901,53.95,1992,21.93,1345,14.81,846,9.31,529,5.82,10,7,8.5,7,8,2,5,0,4,88,265,393,713,1343,2095,2128,1526,367,162
DDl,8402,651012.52,99.41,88.1,4227,50.31,2760,32.85,952,11.33,463,5.51,309,3.68,8,13,10.5,11,10.67,2,0,0,1,29,309,786,637,835,1630,2943,923,204,105
Sup,8402,638459.21,99.24,88.1,5089,60.57,1285,15.29,1501,17.86,527,6.27,331,3.94,14,9,11.5,9,10.67,2,0,4,27,173,486,595,918,1305,1581,1451,1531,250,81
Mai,8402,634989.91,99.24,88.1,5214,62.06,1229,14.63,1471,17.51,488,5.81,303,3.61,14,10,12,12,12,3,0,4,30,193,519,624,985,1289,1570,1394,1491,238,65
Smi,9084,684834.29,99.3,88.1,5934,65.32,1235,13.6,1401,15.42,514,5.66,285,3.14,13,11,12,13,12.33,3,0,2,25,193,468,690,1110,1610,1836,1403,1462,238,47
Tel,9084,694490.03,99.4,88.1,4913,54.08,2792,30.74,965,10.62,414,4.56,263,2.9,9,15,12,15,13,3,0,0,2,80,473,963,760,919,1716,2994,914,175,88
Dou,9084,690756.45,99.34,88.1,5420,59.67,2375,26.14,845,9.3,444,4.89,278,3.06,12,14,13,14,13.33,3,0,0,0,88,640,772,637,1176,2107,2492,894,197,81
Ade,8530,641890.77,99.24,88.1,5205,61.02,2126,24.92,859,10.07,340,3.99,210,2.46,14,18,16,17,16.33,3,5,0,20,136,654,882,718,998,1797,2266,849,151,59
MaA,9084,668736.49,98.72,88.1,6414,70.61,1053,11.59,1219,13.42,398,4.38,213,2.34,21,16,18.5,16,17.67,4,0,1,29,325,722,888,1159,1609,1681,1181,1276,187,26
DCr,8402,622606.59,99.17,88.1,5716,68.03,1671,19.89,773,9.2,242,2.88,140,1.67,17,21,19,20,19.33,4,0,0,9,124,776,934,796,1187,1890,1751,795,103,37
Ele,9084,668144.98,99.08,88.1,6468,71.2,1554,17.11,801,8.82,261,2.87,141,1.55,18,22,20,19,19.67,4,0,0,5,243,837,923,976,1490,1994,1605,870,119,22
FaL,8402,620129.95,98.11,88.1,5896,70.17,1064,12.66,1092,13,350,4.17,199,2.37,24,17,20.5,18,19.67,4,0,4,38,245,609,798,1171,1466,1565,1203,1104,166,33
Stu,8402,649563.61,98.77,88.1,4560,54.27,1480,17.61,2104,25.04,258,3.07,132,1.57,20,20,20,22,20.67,4,0,0,0,48,215,507,1027,1359,1404,1782,1928,115,17
Fir,9084,665866.52,99,88.1,6582,72.46,1455,16.02,806,8.87,241,2.65,133,1.46,19,23,21,21,21,4,0,0,5,265,861,954,995,1488,2014,1506,863,116,17
Dan,9084,675403.26,98.65,88.1,6451,71.01,1401,15.42,1004,11.05,228,2.51,117,1.29,22,24,23,23,23,4,0,0,0,151,658,788,979,1741,2134,1452,1064,107,10
ECo,9084,684576.75,97.23,88.1,5523,60.8,990,10.9,2257,24.85,314,3.46,115,1.27,30,19,24.5,24,24.33,4,0,0,19,142,501,824,1376,1471,1190,1270,2176,109,6
Cur,9084,662354.13,98.31,88.1,6868,75.61,1122,12.35,911,10.03,183,2.01,94,1.03,23,28,25.5,25,25.33,4,0,0,0,264,819,952,1158,1738,1937,1191,931,88,6
Sur,8402,642303.8,97.5,88.1,4983,59.31,1310,15.59,1906,22.69,203,2.42,91,1.08,26,25,25.5,26,25.67,6,0,0,2,58,263,585,1142,1452,1481,1593,1735,82,9
Tou,9084,691160.2,97.5,88.1,5460,60.11,1411,15.53,2010,22.13,203,2.23,91,1,26,27,26.5,26,26.33,6,0,0,2,80,325,696,1290,1542,1525,1717,1816,82,9
Arc,9084,647702.78,97.88,88.1,7199,79.25,920,10.13,815,8.97,150,1.65,79,0.87,25,30,27.5,28,27.67,6,0,0,31,448,1030,1101,1245,1621,1723,996,810,73,6
Sta,6314,467053.47,97.26,88.1,4414,69.91,1073,16.99,682,10.8,145,2.3,69,1.09,29,26,27.5,29,28,6,0,0,13,110,505,600,827,1027,1332,1143,688,60,9
Ant,9084,659907.75,97.42,88.1,7001,77.07,917,10.09,1018,11.21,148,1.63,66,0.73,28,31,29.5,30,29.67,6,0,0,3,266,813,954,1235,1873,1857,1016,1001,62,4
FaH,8402,620488.44,97.14,88.1,6013,71.57,997,11.87,1253,14.91,139,1.65,44,0.52,31,29,30,31,30.33,6,0,1,5,134,428,888,1431,1674,1452,1188,1157,38,6
MaD,9084,636722.26,96.91,88.1,7478,82.32,699,7.69,797,8.77,110,1.21,44,0.48,32,32,32,31,31.67,6,0,0,50,563,1173,1240,1347,1583,1522,765,797,40,4
Eag,8402,574882.97,96.11,88.1,6876,81.84,771,9.18,683,8.13,72,0.86,27,0.32,33,35,34,33,33.67,6,0,18,142,835,1192,1275,1233,1207,974,883,616,25,2
Blu,8402,608249.1,94.07,88.1,6137,73.04,687,8.18,1497,17.82,81,0.96,16,0.19,34,33,33.5,35,34,6,0,0,13,218,665,1145,1607,1544,945,927,1322,16,0
Cat,6314,453303.42,93.58,88.1,4768,75.51,1117,17.69,373,5.91,56,0.89,22,0.35,35,34,34.5,34,34.33,6,0,0,11,120,706,1051,741,931,1208,1178,346,22,0
Ins,6314,438409.72,93.4,88.1,5226,82.77,632,10.01,410,6.49,46,0.73,12,0.19,36,37,36.5,36,36.33,6,0,6,44,391,1030,850,872,950,1083,670,406,12,0
Wan,6314,462303.47,91.96,88.1,4814,76.24,852,13.49,601,9.52,47,0.74,9,0.14,38,36,37,37,37,6,0,0,6,83,386,674,1066,1236,1363,911,580,9,0
