sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Ade,6314,571707.33,99.85,95.5,422,6.68,2022,32.02,1833,29.03,2037,32.26,3606,57.11,1,1,1,1,1,1,1,0,0,3,52,154,21,11,183,652,1632,1363,2243
Bat,9539,814653.28,99.85,95.5,2186,22.92,4496,47.13,1889,19.8,968,10.15,2553,26.76,1,5,3,6,4,1,1,0,0,0,0,9,105,457,1615,2671,2129,1455,1098
PFr,9539,819245.2,99.7,95.5,1919,20.12,4555,47.75,1953,20.47,1112,11.66,2769,29.03,7,3,5,2,4,1,2,0,0,3,13,18,88,319,1478,2693,2158,1521,1248
Ins,6314,548397.28,99.7,95.5,951,15.06,2439,38.63,2192,34.72,732,11.59,2651,41.99,7,4,5.5,5,5.33,2,0,0,0,17,147,99,11,102,575,1441,1271,1771,880
EPl,9539,787294.65,99.85,95.5,4143,43.43,3106,32.56,1504,15.77,786,8.24,2014,21.11,1,8,4.5,9,6,1,1,0,0,0,0,0,246,1728,2169,1951,1431,1128,886
SBl,9539,814068.57,99.59,95.5,2343,24.56,4193,43.96,2050,21.49,953,9.99,2660,27.89,13,6,9.5,4,7.67,2,5,0,0,0,0,15,63,550,1715,2495,2041,1591,1069
Mar,6314,554664.16,99.42,95.5,612,9.69,2672,42.32,2185,34.61,845,13.38,2694,42.67,20,2,11,3,8.33,2,2,0,1,20,80,24,8,138,341,1353,1655,1693,1001
Fla,9539,808309.28,99.59,95.5,2553,26.76,4229,44.33,1916,20.09,841,8.82,2459,25.78,13,7,10,7,9,2,2,0,0,5,19,39,113,600,1777,2566,1961,1494,965
Whi,9539,787802.72,99.79,95.5,2882,30.21,4617,48.4,1411,14.79,629,6.59,1770,18.56,5,11,8,14,10,2,2,0,6,195,203,137,254,646,1442,2738,2148,1047,723
Thi,9539,782979.74,99.62,95.5,4362,45.73,3019,31.65,1510,15.83,648,6.79,1894,19.86,11,10,10.5,11,10.67,2,5,0,0,0,0,0,330,1794,2238,1862,1421,1140,754
