sk_name,sk_count,r_sum,r_max,r_95ile,nq_count,nq_pct,sub80_count,sub80_pct,80_95_count,80_95_pct,95ile_count,95ile_pct,r90_count,r90_pct,rank_mx,rank_95ile,rank_mx_95ile_avg,rank_r90,rank_mx_95ile_r90_avg,skill_tier,roland_tag,rating_hist_40,rating_hist_45,rating_hist_50,rating_hist_55,rating_hist_60,rating_hist_65,rating_hist_70,rating_hist_75,rating_hist_80,rating_hist_85,rating_hist_90,rating_hist_95
Mar,7422,600031.5,99.8,86.7,3096,41.71,0,0,2312,31.15,2014,27.14,1195,16.1,1,1,1,1,1,1,1,0,2,41,31,126,881,832,1183,1840,1291,890,305
EPl,7422,523405.39,99.8,86.7,5952,80.19,0,0,839,11.3,631,8.5,349,4.7,1,6,3.5,4,3.67,1,5,0,0,301,944,1329,1335,1153,890,659,462,279,70
PFr,7422,575136.48,99.65,86.7,4837,65.17,0,0,1725,23.24,860,11.59,479,6.45,6,3,4.5,2,3.67,1,2,0,0,0,2,236,959,1751,1889,1438,668,358,121
Bat,7422,569865.06,99.67,86.7,5061,68.19,0,0,1615,21.76,746,10.05,419,5.65,5,4,4.5,3,4,1,2,0,0,0,14,365,1055,1767,1860,1356,586,306,113
SBl,7422,563473.8,99.63,86.7,5264,70.92,0,0,1482,19.97,676,9.11,344,4.63,8,5,6.5,5,6,2,3,0,0,0,9,520,1205,1783,1747,1278,536,269,75
Whi,7422,563072.88,99.8,86.7,5412,72.92,0,0,1518,20.45,492,6.63,241,3.25,1,9,5,9,6.33,2,3,0,19,99,76,161,979,2034,2044,1353,416,181,60
Fla,7422,562331.45,99.63,86.7,5347,72.04,0,0,1458,19.64,617,8.31,303,4.08,8,7,7.5,6,7,2,3,0,0,0,13,506,1225,1850,1753,1259,513,230,73
Pow,7422,555554.61,99.8,86.7,5708,76.91,0,0,1337,18.01,377,5.08,183,2.47,1,12,6.5,11,8,2,5,0,23,105,85,361,1122,2130,1882,1156,375,133,50
Thi,7422,518447.55,99.58,86.7,6142,82.75,0,0,793,10.68,487,6.56,248,3.34,10,10,10,8,9.33,2,0,0,0,312,976,1407,1378,1167,902,629,403,199,49
Gun,6314,484862.16,99.26,86.7,3814,60.41,0,0,1759,27.86,741,11.74,302,4.78,20,2,11,7,9.67,2,5,0,6,53,140,538,788,758,1531,1454,744,269,33
